year;champion;champion_short;runner;runner_short
2023;Denver Nuggets;DEN;Miami Heat;MIA
2022;Golden State Warriors;GSW;Boston Celtics;BOS
2021;Milwaukee Bucks;MIL;Phoenix Suns;PHO
2020;Los Angeles Lakers;LAL;Miami Heat;MIA
2019;Toronto Raptors;TOR;Golden State Warriors;GSW
2018;Golden State Warriorr;GSW;Cleveland Cavaliers;CLE
2017;Golden State Warriors;GSW;Cleveland Cavaliers;CLE
2016;Cleveland Cavaliers;CLE;Golden State Warriors;GSW
2015;Golden State Warriors;GSW;Cleveland Cavaliers;CLE
2014;San Antonio Spurs;SAS;Miami Heat;MIA
2013;Miami Heat;MIA;San Antonio Spurs;SAS
2012;Miami Heat;MIA;Oklahoma City Thunder;OKC
2011;Dallas Mavericks;DAL;Miami Heat;MIA
2010;Los Angeles Lakers;LAL;Boston Celtics;BOS
2009;Los Angeles Lakers;LAL;Orlando Magic;ORL
2008;Boston Celtics;BOS;Angeles Lakers;LAL
2007;San Antonio Spurs;SAS;Cleveland Cavaliers;CLE
2006;Miami Heat;MIA;Dallas Mavericks;DAL
2005;San Antonio Spurs;SAS;Detroit Pistons;DET
2004;Detroit Pistons;DET;Los Angeles Lakers;LAL
2003;San Antonio Spurs;SAS;New Jersey Nets;NYN
2002;Los Angeles Lakers;LAL;New Jersey Nets;NYN
2001;Los Angeles Lakers;LAL;Philadelphia 76ers;PHI
2000;Los Angeles Lakers;LAL;Indiana Pacers;IND
